Año,País,Valor
2019,ISL,1.875
2020,ISL,0.345
2021,ISL,0.653
2022,ISL,0.59
2023,ISL,2.365
2019,AUS,6.574
2020,AUS,7.071
2021,AUS,6.794
2022,AUS,7.07
2023,AUS,6.99
2019,IRL,13.501
2020,IRL,14.854
2021,IRL,8.123
2022,IRL,16.753
2023,IRL,7.531
2019,G7,10.181
2020,G7,10.308
2021,G7,10.271
2022,G7,10.212
2023,G7,10.112
2019,CHL,20.445
2020,CHL,19.462
2021,CHL,18.931
2022,CHL,18.026
2023,CHL,17.993
2019,G7,7.127
2020,G7,7.27
2021,G7,7.347
2022,G7,7.46
2023,G7,7.573
2019,AUS,8.575
2020,AUS,8.686
2021,AUS,8.596
2022,AUS,8.395
2023,AUS,8.088
2019,ARG,0.286
2020,ARG,0.743
2021,ARG,0.253
2022,ARG,1.311
2023,ARG,2.076
2019,ROU,1.103
2020,ROU,1.008
2021,ROU,0.199
2022,ROU,0.162
2023,ROU,0.2
2019,NOR,8.108
2020,NOR,8.081
2021,NOR,7.901
2022,NOR,7.966
2023,NOR,7.875
2019,CHL,0.994
2020,CHL,1.313
2021,CHL,1.192
2022,CHL,0.872
2023,CHL,1.831
2019,SWE,8.077
2020,SWE,8.036
2021,SWE,7.948
2022,SWE,7.944
2023,SWE,7.965
2019,USA,7.226
2020,USA,7.388
2021,USA,7.383
2022,USA,7.505
2023,USA,7.423
2019,ISL,10.074
2020,ISL,10.436
2021,ISL,10.785
2022,ISL,11.206
2023,ISL,11.534
2019,EST,9.789
2020,EST,10.388
2021,EST,10.676
2022,EST,10.772
2023,EST,10.613
2019,NZL,7.349
2020,NZL,7.594
2021,NZL,7.789
2022,NZL,7.929
2023,NZL,7.797
2019,GBR,8.249
2020,GBR,8.238
2021,GBR,8.258
2022,GBR,8.93
2023,GBR,9.088
2019,G7,7.963
2020,G7,7.799
2021,G7,7.92
2022,G7,7.832
2023,G7,8.043
2019,JPN,10.83
2020,JPN,11.056
2021,JPN,11.529
2022,JPN,11.937
2023,JPN,12.173
2019,CZE,7.649
2020,CZE,7.605
2021,CZE,7.584
2022,CZE,7.317
2023,CZE,6.734
2019,GRC,1.751
2020,GRC,1.976
2021,GRC,2.175
2022,GRC,2.212
2023,GRC,2.295
2019,AUT,3.979
2020,AUT,4.088
2021,AUT,5.226
2022,AUT,6.296
2023,AUT,6.433
2019,E,8.62347901477791
2020,E,8.4819297602286
2021,E,8.43279797587669
2022,E,8.42260591426902
2019,ARG,2.781
2020,ARG,2.398
2021,ARG,2.223
2022,ARG,2.349
2023,ARG,2.546
2019,E,0.0101213036668544
2020,E,0.00407669218422709
2021,E,0.0186791804735282
2022,E,0.0121211042014279
2019,COL,6.155
2020,COL,6.215
2021,COL,6.699
2022,COL,6.745
2023,COL,6.588
2019,CHL,7.401
2020,CHL,6.814
2021,CHL,6.536
2022,CHL,6.636
2023,CHL,6.497
2019,NOR,7.084
2020,NOR,4.608
2021,NOR,6.309
2022,NOR,6.014
2023,NOR,5.089
2019,E,0.0620110472966585
2020,E,0.0628079922678603
2021,E,0.0842350303054806
2022,E,0.0825926849589948
2019,SVN,9.285
2020,SVN,9.079
2021,SVN,9.04
2022,SVN,8.743
2023,SVN,8.715
2019,AUT,0.365
2020,AUT,0.332
2021,AUT,0.218
2022,AUT,0.249
2023,AUT,0.236
2019,G7,2.863
2020,G7,2.663
2021,G7,2.812
2022,G7,2.974
2023,G7,2.971
2019,GRC,9.763
2020,GRC,10.897
2021,GRC,10.565
2022,GRC,9.778
2023,GRC,11.062
2019,SWE,8.428
2020,SWE,8.399
2021,SWE,8.439
2022,SWE,8.496
2023,SWE,8.576
2019,EU19OECD,0.495
2020,EU19OECD,0.508
2021,EU19OECD,0.643
2022,EU19OECD,0.773
2023,EU19OECD,0.859
2019,OECD,10.904
2020,OECD,10.954
2021,OECD,10.948
2022,OECD,10.99
2023,OECD,10.934
2019,EU27,10.881
2020,EU27,11.112
2021,EU27,11.268
2022,EU27,11.332
2023,EU27,11.42
2019,COL,11.534
